STT,ID,NAME
1,VTV1,VTV1
2,VTV2,VTV2
3,VTV3,VTV3
4,VTV4,VTV4
5,VTV5,VTV5
6,VTV6,VTV6
7,VTV7,VTV7
8,VTV8,VTV8
9,VTV9,VTV9
10,VTVcab1,VTV cáp 1
11,VTVcab2,VTV cáp 2
12,VTVcab3,VTV cáp 3
13,VTVcab4,VTV cáp 4
14,VTVcab5,VTV cáp 5
15,VTVcab6,VTV cáp 6
16,VTVcab7,VTV cáp 7
17,VTVcab8,VTV cáp 8
18,VTVcab9,VTV cáp 9
19,VTVcab10,VTV cáp 10
20,VTVcab11,VTV cáp 11
21,VTVcab12,VTV cáp 12
22,VTVcab13,VTV cáp 13
23,VTVcab14,VTV cáp 14
24,VTVcab15,VTV cáp 15
25,VTVcab16,VTV cáp 16
26,VTVcab17,VTV cáp 17
27,VTVcab18,VTV cáp 18
28,VTVcab19,VTV cáp 19
29,VTVcab20,VTV cáp 20
30,VTVcab21,VTV cáp 21
31,VTVcab22,VTV cáp 22
32,VTVcab23,VTV cáp 23
33,VTC1,VTC1
34,VTC2,VTC2
35,VTC3,VTC3
36,VTC4,VTC4
37,VTC5,VTC5
38,VTC6,VTC6
39,VTC7,VTC7
40,VTC8,VTC8
41,VTC9,VTC9
42,VTC10,VTC10
43,VTC11,VTC11
44,VTC12,VTC12
45,VTC13,VTC13
46,VTC14,VTC14
47,VTC16,VTC16
48,K+1,K + 1
49,K+NS,K + Nhịp sống
50,K+PM,K + phái mạnh
51,K+PC,K + phong cách
52,LetsViet,Lét Việt
53,Yeah1,Yeah 1
54,ANTV,An ninh TV
55,INFOTV,Info TV
56,STYLETV,STYLETV
57,HBO,HBO
58,FOXMOVIES,Fox điện ảnh
59,FOXSPORTS,Fox thể thao
60,TODAYTV,Today
61,DISNEY,Disney
62,CARTOONNETWORK,Hoạt hình
63,ANIMALPLANET,Động vật hoang dã
64,BBCNEWS,Tin tức BBC
65,CHANNELV,Tin tức số 5
66,CNNNEWS,Tin tức CNN
67,CNBC,CNBC
68,NHKWORLD,Truyền hình Nhật bản
69,CHANNELASIA,Tin tức châu á
70,DISCOVERY,DISCOVERY
71,AXN,AXN
72,ANGIANG,An giang
73,LONGAN,Long an
74,DONGNAI1,Đồng nai 1
75,HANOI1,Hà nội 1
76,HANOI2,Hà nội 2
77,ANGIANG1,An giang
78,BINHDUONG1,Bình Dương
79,BINHTHUAN,Bình Thuận
80,TTXVN,THông tấn xã Việt Nam
81,TAYNINH,Tây ninh
82,QUANGNGAI,Quảng ngãi
83,HTV1,HTV1
84,HTV2,HTV2
85,HTV3,HTV3
86,HTV7,HTV7
87,HTV9,HTV9
88,BENTRE,Bến tre
89,VINHLONG1,Vĩnh Long
90,QUANGNINH1,Quảng Ninh
91,VINHLONG2,Vĩnh Long 2
92,BINHPHUOC1,Bình phước
93,NINHTHUAN,Ninh Thuận
94,QUOCHOI,Quốc hội
95,GIALAI,Gia lai
96,BARIAVUNGTAU,Bà rịa vũng Tầu
97,CANTHO,Cần thơ
98,CAMAU,Cà Mau
99,HANAM,Hà Nam
100,DONGTHAP1,Đồng Tháp
101,KIENGIANG,Kiên giang
102,NINHBINH,Ninh Bình
103,PHUYEN,Phú yên
104,QUANGBINH,Quảng bình
105,VOV,VOV
106,MTV,MTV
